발행일,Category,Keywords,Title,Link
2025-02-10,6. Blockchain,RWA,Withdrawing the United States From and Ending Funding to Certain United Nations Organizations and Reviewing United States Support to All International Organizations,https://www.federalregister.gov/documents/2025/02/10/2025-02504/withdrawing-the-united-states-from-and-ending-funding-to-certain-united-nations-organizations-and
2025-02-07,"16. Mobile Device, 42. Manufacturing","SoC, MES",Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
2025-02-07,"16. Mobile Device, 42. Manufacturing","SoC, MES",Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/02/07/2025-02406/imposing-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
2025-02-07,"16. Mobile Device, 42. Manufacturing","SoC, MES",Imposing Duties To Address the Situation at Our Southern Border,https://www.federalregister.gov/documents/2025/02/07/2025-02407/imposing-duties-to-address-the-situation-at-our-southern-border
2025-02-06,"16. Mobile Device, 42. Manufacturing","SoC, MES",Unleashing Prosperity Through Deregulation,https://www.federalregister.gov/documents/2025/02/06/2025-02345/unleashing-prosperity-through-deregulation
2025-02-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Ending Radical Indoctrination in K-12 Schooling,https://www.federalregister.gov/documents/2025/02/03/2025-02232/ending-radical-indoctrination-in-k-12-schooling
2025-02-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Expanding Educational Freedom and Opportunity for Families,https://www.federalregister.gov/documents/2025/02/03/2025-02233/expanding-educational-freedom-and-opportunity-for-families
2025-02-03,16. Mobile Device,SoC,Restoring America's Fighting Force,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force
2025-02-03,"16. Mobile Device, 42. Manufacturing","SoC, MES",Protecting Children From Chemical and Surgical Mutilation,https://www.federalregister.gov/documents/2025/02/03/2025-02194/protecting-children-from-chemical-and-surgical-mutilation
2025-02-03,42. Manufacturing,MES,Additional Measures To Combat Anti-Semitism,https://www.federalregister.gov/documents/2025/02/03/2025-02230/additional-measures-to-combat-anti-semitism
2025-02-03,42. Manufacturing,MES,Celebrating America's 250th Birthday,https://www.federalregister.gov/documents/2025/02/03/2025-02231/celebrating-americas-250th-birthday
2025-02-03,"6. Blockchain, 37. Energy/Utility, 39. Construction/Defense","Nuclear, RWA, Defense tech",The Iron Dome for America,https://www.federalregister.gov/documents/2025/02/03/2025-02182/the-iron-dome-for-america
2025-01-31,"16. Mobile Device, 42. Manufacturing","SoC, MES",Ending Illegal Discrimination and Restoring Merit-Based Opportunity,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity
2025-01-31,"4. AI, 6. Blockchain","RWA, Artificial Intelligence",President's Council of Advisors on Science and Technology,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology
2025-01-31,"4. AI, 16. Mobile Device, 42. Manufacturing","SoC, MES, Artificial Intelligence",Removing Barriers to American Leadership in Artificial Intelligence,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence
2025-01-31,42. Manufacturing,MES,Restoring Names That Honor American Greatness,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness
2025-01-31,42. Manufacturing,MES,Designation of Ansar Allah as a Foreign Terrorist Organization,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization
2025-01-31,6. Blockchain,CBDC,Strengthening American Leadership in Digital Financial Technology,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology
2025-01-31,"17. Mobile Wireless, 42. Manufacturing","Spectrum, MES",Council To Assess the Federal Emergency Management Agency,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency
2025-01-31,42. Manufacturing,MES,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain
2025-01-30,42. Manufacturing,MES,Restoring the Death Penalty and Protecting Public Safety,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety
2025-01-30,"16. Mobile Device, 17. Mobile Wireless, 42. Manufacturing","SoC, Spectrum, MES",Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal
2025-01-30,6. Blockchain,RWA,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok
2025-01-30,"16. Mobile Device, 42. Manufacturing","SoC, MES",Reforming the Federal Hiring Process and Restoring Merit to Government Service,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service
2025-01-29,"16. Mobile Device, 42. Manufacturing","SoC, MES",Ending Radical and Wasteful Government DEI Programs and Preferencing,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing
2025-01-29,"6. Blockchain, 16. Mobile Device, 42. Manufacturing","RWA, SoC, MES",Unleashing Alaska's Extraordinary Resource Potential,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential
2025-01-29,16. Mobile Device,SoC,Protecting the Meaning and Value of American Citizenship,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship
2025-01-29,42. Manufacturing,MES,Declaring a National Energy Emergency,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency
2025-01-29,6. Blockchain,RWA,America First Policy Directive to the Secretary of State,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state
2025-01-29,42. Manufacturing,MES,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of
2025-01-29,"16. Mobile Device, 34. Automotive/Aviation, 37. Energy/Utility, 38. Metals, 42. Manufacturing","MES, Electric Vehicle, Nuclear, SoC, Rare earth",Unleashing American Energy,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy
2025-01-29,42. Manufacturing,MES,Protecting the American People Against Invasion,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion
2025-01-29,16. Mobile Device,SoC,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially
2025-01-28,16. Mobile Device,SoC,Restoring Freedom of Speech and Ending Federal Censorship,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship
2025-01-28,16. Mobile Device,SoC,Ending the Weaponization of the Federal Government,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government
2025-01-28,"4. AI, 42. Manufacturing","MES, Artificial Intelligence",Initial Rescissions of Harmful Executive Orders and Actions,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions
